"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
대구광역시 동구,동촌로,동촌로,용계동 702-55,양버즘나무,3.5,기타,기타,기타,기타,"232909.3102","432853.2301",EPSG:5186,37619
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,39,기타,기타,기타,기타,"343809.4083","361783.3006",EPSG:5186,109810
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,38,기타,기타,기타,기타,"343754.387","361782.5709",EPSG:5186,109914
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,24,기타,기타,기타,기타,"343821.1494","361783.3048",EPSG:5186,110279
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,35,기타,기타,기타,기타,"343780.7139","361783.0005",EPSG:5186,110465
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,36,기타,기타,기타,기타,"343772.6193","361782.7038",EPSG:5186,111141
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,38,기타,기타,기타,기타,"343728.9078","361782.3276",EPSG:5186,111789
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,42,기타,기타,기타,기타,"343741.7222","361782.4858",EPSG:5186,112345
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,38,기타,기타,기타,기타,"343787.5957","361783.0083",EPSG:5186,112897
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,39,기타,기타,기타,기타,"343722.0731","361782.4558",EPSG:5186,113617
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,42,기타,기타,기타,기타,"343736.003","361782.4218",EPSG:5186,113835
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,43,기타,기타,기타,기타,"343716.5924","361782.3737",EPSG:5186,114251
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,38,기타,기타,기타,기타,"343798.2522","361783.0653",EPSG:5186,114758
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,33,기타,기타,기타,기타,"343834.0104","361783.4339",EPSG:5186,114859
대구광역시 남구,중앙대로22길,중앙대로22길,봉덕동 879-45,양버즘나무,48,기타,기타,기타,기타,"343746.9015","361782.6288",EPSG:5186,115849
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕로5길,은행나무,21,기타,기타,기타,기타,"343918.9924157873","362114.005006228",EPSG:5186,112008
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕로5길,백합나무,25,기타,기타,기타,기타,"343933.115293307","362154.3453963833",EPSG:5186,111938
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕로5길,백합나무,40,기타,기타,기타,기타,"1098712.8865181876","1761692.1741197836",EPSG:5186,110119
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕로5길,백합나무,29,기타,기타,기타,기타,"343924.7402100583","362204.20766247646",EPSG:5186,114243
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕로5길,백합나무,34,기타,기타,기타,기타,"343944.0964159211","362324.57456830307",EPSG:5186,109531
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,32,기타,기타,기타,기타,"343919.6295","362128.1376",EPSG:5186,109535
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,29,기타,기타,기타,기타,"343927.2461","362053.7802",EPSG:5186,109775
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,29,기타,기타,기타,기타,"343926.2078","362233.6596",EPSG:5186,109805
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,22,기타,기타,기타,기타,"343925.6906","362227.8325",EPSG:5186,110344
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,40,기타,기타,기타,기타,"343933.6498","362165.5319",EPSG:5186,110622
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,25,기타,기타,기타,기타,"343927.7082","362060.2309",EPSG:5186,111611
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,은행나무,18,기타,기타,기타,기타,"343919.3288","362120.0989",EPSG:5186,111779
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,25,기타,기타,기타,기타,"343932.6499","362145.1225",EPSG:5186,112140
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,백합나무,31,기타,기타,기타,기타,"343932.3149","362140.0812",EPSG:5186,113097
대구광역시 남구,봉덕로5길,봉덕로5길,봉덕동 585-31,기타활엽수,28,기타,기타,기타,기타,"343938.0453","362225.7213",EPSG:5186,113451
