테이블명,번호,컬럼명(영문),컬럼명(한글),타입,길이,키,필수,단위,도메인명,비고
"RDL_TREE_PS
(가로수)",1,FTR_CDE,지형지물부호,VC2,5,PK,*,,FACIL_ROAD,가로수:AE160
,2,FTR_IDN,관리번호,N,8,PK,*,,,가로수의 관리번호
,3,HJD_CDE,행정구역,VC2,10,,*,,ADMH_CODE,가로수가 포함된 행정구역코드
,4,BJD_CDE,법정구역,VC2,10,,*,,ADMB_CODE,가로수가 포함된 법정구역코드
,5,SHT_NUM,도엽번호,VC2,10,,*,,,가로수가 포함된 1/500도엽의 번호
,6,SEC_IDN,도로구간번호,N,10,FK,*,,,가로수가 위치한 도로중심선의 일련번호
,7,MNG_CDE,관리기관,VC2,6,,*,,MNG_CODE,가로수의 관리기관코드
,8,CNT_NUM,공사번호,VC2,10,FK,,,,가로수가 설치된 공사와 연결하기 위해 사용되는 공사번호
,9,LOC_DES,지점,VC2,50,,,,,가로수가 위치한 도로구간(노선)의 시점으로부터의 가로수의 지점까지의 거리 또는 위치에 대한 설명
,10,PLC_CDE,방향,VC2,6,,,,UDG_CODE,가로수가 위치한 방향 : 상하행구분 참조(기본값:미분류)
,11,TRE_YMD,식재일자,VC2,8,,,,,가로수를 식재한날짜
,12,TRE_CDE,수종코드,VC2,6,,*,,TRE_CODE,가로수의 수종을 나타내는 코드:가로수수종 참조(기본값:미분류)
,13,PTC_CDE,수목보호판유무,VC2,6,,*,,YON_CODE,수목보호판의 유무:시설물유무 참조(기본값:미분류)
,14,STA_CDE,가로수상태,VC2,6,,,,STA2_CODE,가로수의 상태를 나타내는 코드:가로수상태 참조(기본값:양호)
,15,ACQ_CDE,취득구분,VC2,6,,,,ACQ_CODE,가로수의 취득한 방법: 취득구분 참조(기본값:미분류)
,16,ACQ_CST,취득금액,N,12,,,원,,가로수의 설치 또는 취득에 소요된 총공사비
,17,MNG_DPT,관리부서,VC2,20,,,,,관리책임이 있는 부서명
,18,SRV_LIF,내용연수,N,5,,,,,경제적 효익의 지속기간
,19,ATT_ETC,비고,VC2,200,,,,,기타 사항
,20,SYS_CHK,대장초기화여부,VC2,1,,*,,INIT_CODE,"도형과 속성자료의 완전입력여부,0:대장초기화1:대장입력완료"
,21,FTR_TIM,도형최종수정일자,VC2,14,,,,,
,22,FTR_USR,도형최종수정자명,VC2,50,,,,,
,23,ATT_TIM,속성최종수정일자,VC2,14,,,,,
,24,ATT_USR,속성최종수정자명,VC2,50,,,,,
,25,IDN,고유번호,N,8,,,,,
