노선명,은행나무,왕벚나무,플라타너스,히말라야시다,느티나무,메타세콰이어,가시나무,곰솔,후박나무,가중나무,단풍나무,향나무,먼나무,이팝나무,회화나무,튤립나무,가로수연장(km)
중앙대로,293,145,,,5,,,,,7,,10,6,,,,5.5
충렬대로,432,,,,3,,22,,,,17,,,58,,,4.8
충렬대로107번길,70,,,,6,,,,,,,,,,,,0.3
충렬대로238번길,12,,,,,,,,,,,,,,,,0.2
충렬대로350번길,,,,,,,17,,,,,,,,,,0.15
충렬대로410번길,,,,,,,,,,,,,8,,,,0.1
아시아드대로,,,,1,58,2,10,,222,,,,9,,,,1.8
아시아드대로146번길,,,,,1,,,,,,,,11,,,,0.06
아시아드대로228번길,20,,,,,,,,,,,,,,,,0.2
아시아드대로208번길,,,,,,,6,,,,,,,,,,0.05
반송로,311,,,,,54,,,,,,,,,,,2.4
우장춘로,,210,,,,,,,,,,,93,,,,2
쇠미로,40,174,,,15,,109,,,,,,,,,,2.95
쇠미로40번길,,,,,,,,,,,,,,54,,,0.35
석사로,89,,,,,,,,,,,,,,,,0.45
사직북로,,,,,,,,,,,,,,48,,,0.8
사직북로19번길,45,,,,,,,,,,,,,,,,0.25
사직북로33번길,,,,,,,,,,,,,,8,,,0.07
사직북로50번길,,,,,,,,,,,,,,13,,,0.15
사직북로63번길,,,,,,,,,,,,,,15,,,0.2
사직로,,,,,179,,,,,,,,,,,,1
종합운동장로,,,,,67,,,,,,,,,,,,0.35
여고로,136,,,,79,,,,,,,,,,,,1.4
여고북로,,,,,,,10,,,,,,,,,,0.1
미남로,225,,,,,,,,1,,,,,,,,1.5
온천장로,40,,,,1,,,,,,,,41,,,,1.5
온천장로107번길,,,,,,,,,,,,,13,,,,0.25
금강로59번길,,2,,1,1,7,,,,,48,,,,,,0.5
온천천로,10,300,,4,,,12,67,5,,,6,5,8,,,5
중로2-427호선,,,,,,,,,,,,,,29,,,0.16
명륜로,87,,,1,,,,,,,,,,147,,,2.5
명륜로129번길,,,,,13,,,,,,,,,,,,0.3
동래로,23,,,,,,,,,,,,,153,47,,2.3
수안로,98,,,,,,,,,,,,,,,,0.6
낙민로,,,,,38,,,,,,,,,,,,0.2
안락로,14,,,,,,,,,,,,,,,,1.4
연안로,,68,,,6,,,,,,,,,,,,0.6
안연로,23,,,,,,,,,,,,,13,,,0.3
안남로,,46,,,,,,,,,,,,6,,,0.29
명장로,,,,,,,,,,,,,,34,,,0.26
삼어로,,67,,,,,,,,,,,,,,,0.4
복천로,,,,,,,,,,,,,,46,,,0.27
복천로5번길,,,,,,,,,,,,,,10,,,0.12
충렬대로446번길,,6,,,,,,,,,,,,,,,0.08
체육공원로,1,,,34,31,,,,,,,,,,,62,0.54
구만덕로,,24,,,,,,,,,,,,,,,0.15
시실로,,,,,,,,,,,,,,196,,,1.2
문화로,,,,,4,,,,,,,,,223,,,0.57
충렬대로181번길,,,,,,,,,,,,,,48,,,0.35
명륜로139번길,,,,,,,,,,,,,,4,,,0.05
명장로51번길,,,,,,,,,,,,,,20,,,0.18
명장로67번길,,,,,,,,,,,,,,8,,,0.09
"우장춘로9번길, 충렬대로75번길(중로3-224)",,,,,,,,,,,,,,113,,,0.6
금정마을로(중로1-142),,,,,,,,,,,,,,82,,,0.42
우장춘로59번길(중로3-223),,,,,,,,,,,,,,27,,,0.26
중앙대로1381번길(중로1-141),,,,,,,,,,,,,,40,,,0.19
우장춘로18번길(중로2-206),,,,,,,,,,,,,,42,,,0.24
차밭골로,,,,,,,,,,,,,9,,,,0.1
온천천로531번길,,,,,,,,,,,,,10,,,,0.15
충렬대로75번길,,,,,,,,,,,,,,18,,,0.24
명장로67번길,,,,,,,,,,,,,,8,,,0.09
