위치명,위도,경도,구간시점,구간종점,식재거리,총합계,왕벚나무,은행나무,느티나무,양버즘,이팝나무,메타세콰이아,칠엽수,튤립나무,벽오동,후박나무,먼나무,가시나무,녹나무,구군명,데이터기준일자
부산광역시 부산진구 서면문화로,35.1605598,129.0560362,새싹로 59,가야대로 785,600,93,,74,,,19,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 동성로,35.1590126,129.0658008,동성로 151,부산동성고등학교,600,222,,85,,7,83,,,,,,47,,,부산진구,2025-12-11
부산광역시 부산진구 시민공원로,35.1646794,129.0568825,시민공원로 8,동평로 경계,740,557,,,519,,,,,,,38,,,,부산진구,2025-12-11
부산광역시 부산진구 부전로,35.1579655,129.0579533,부전로 87,범전로13,3510,116,,,,,5,,,,95,5,11,,,부산진구,2025-12-11
부산광역시 부산진구 범전로,35.1647429,129.0622177,범전로13,범전로 807,660,22,,,22,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 중앙대로 783번길,35.1627484,129.0617808,부전지구대,부전지하철역1번출구,220,39,,,,,,,,,,33,6,,,부산진구,2025-12-11
부산광역시 부산진구 백양대로 300번길,35.1561326,129.0186517,개림중학교,백양대로 298,380,60,60,,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 거제대로,35.1721255,129.0677072,연제구경계,송상현광장,1200,464,,31,144,,,163,,,,,126,,,부산진구,2025-12-11
부산광역시 부산진구 연수로,35.1742021,129.0747654,양정지하철역,연제구경계,1400,93,,,,93,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 진연로,35.1787628,129.0731784,중앙대로 993,거제천로 59,180,18,18,,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 서면로,35.1531931,129.0576515,서면로74,서면로41,700,44,,44,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 월드컵대로,35.1829535,129.0504627,연제구경계,시민도서관삼거리,440,88,,,88,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 가야공원로,35.1486117,129.0291586,가야공원로1,가야공원입구,2360,147,51,69,27,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 신천대로 126번길,35.1550124,129.0524807,네오스포,신천대로 126번길 50,500,60,60,,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 신천대로 165번길,35.1560728,129.050297,신천대로 165번길 43,신천대로 165번길 3,480,46,46,,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 동천로,35.155889,129.0626192,동천로140,중앙대로 666번길 50,1283,224,,209,,,,,,,,1,,,14,부산진구,2025-12-11
부산광역시 부산진구 새싹로,35.1704014,129.0512854,새싹로 287-1,새싹로1,1650,239,17,130,5,,85,,,,,2,,,,부산진구,2025-12-11
부산광역시 부산진구 시민공원로 19번길,35.1653186,129.0516634,새싹로 87,시민공원로19번길 22-5,326,27,12,15,,,,,,,,,,,,부산진구,2025-12-11
부산광역시 부산진구 백양대로,35.1601597,129.036515,진양교차로 ,사상구경계,7580,477,3,432,,,,,,,,,,42,,부산진구,2025-12-11
부산광역시 부산진구 자유평화로,35.1416903,129.0620084,평화도매시장,시민장례식장,350,19,,19,,,,,,,,,,,,부산진구,2025-12-11
