기관명 ,도로명주소 ,시점 ,종점 ,식재거리,왕벚나무,은행나무,느티나무,양버즘,이팝나무,회화나무,칠엽수,팽나무,튤립나무,후박나무,먼나무,해송,가시나무,개잎갈나무,녹나무,데이터기준일자
부산광역시 사하구 ,부산광역시 사하구 강변대로,사상구경계,을숙도대교,3912,799,0,0,0,156,0,0,0,0,0,0,0,394,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 감천로,감천삼거리,고신대병원,2176,57,182,0,8,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 감천항로,화력발전소,구평방파제,5350,0,42,22,0,0,0,0,0,0,44,117,712,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 감천항로291번길,삼표산업,감천항 부두,200,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 구평로,구평동 보호수,쌍용양회,433,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 낙동남로,하단오거리,65호광장,3072,128,0,124,0,0,7,0,48,0,0,0,0,72,0,8,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 낙동남로1233번길,낙동강문화관,을숙도문화회관,307,34,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 낙동대로,사상구경계,대티터널,5856,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 다대로,을숙도대교,당리동주민센터,11604,564,185,9,102,0,0,0,576,0,40,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 다대로170번길,성일여고,한신실리텍,976,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 다대로320번길,협성르네상스아파트,한서병원,317,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 다대로381번길,다송초교,다대4지구아파트,1661,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 다대로382번길,다대로교차로,다대3지구아파트 안길,980,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 다대로429번길,삼환아파트,다대2동주민센터,362,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
부산광역시 사하구 ,부산광역시 사하구 다대낙조2길,노을정,롯데캐슬아파트 진입로,1114,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-22
