"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
대전광역시 동구,세천공원로,삼정동9-12도,세천동174-7임,단풍나무,3.2,기타,기타,기타,기타,"243476.2311","414778.3321",EPSG:5186,112677
대전광역시 동구,냉천로,마산동482-1도,효평동212도,느티나무,3.5,기타,기타,기타,기타,"242557.8401","423652.9801",EPSG:5186,112675
대전광역시 동구,대청호수로,삼정동389천,직동산77-4도,느티나무,3.5,기타,기타,기타,기타,"242461.5201","423796.2901",EPSG:5186,112674
대전광역시 동구,산내로,하소동산47목,대성동282-17천,느티나무,3.4,기타,기타,기타,기타,"243024.7701","406149.4901",EPSG:5186,112680
대전광역시 중구,운남로,침산동398천,구완동산18-1임,느티나무,2.3,기타,기타,기타,기타,"236886.3301","408567.6201",EPSG:5186,96915
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236378.9501","412913.6001",EPSG:5186,89229
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236385.8301","412908.4401",EPSG:5186,89258
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236391.2701","412904.3101",EPSG:5186,89282
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236395.8501","412900.7701",EPSG:5186,89297
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236404.9801","412893.8901",EPSG:5186,89325
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236409.7401","412890.2401",EPSG:5186,89333
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236414.9601","412886.2001",EPSG:5186,89346
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236420.3901","412882.1101",EPSG:5186,89357
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236424.8001","412879.3601",EPSG:5186,89368
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236432.6801","412872.5401",EPSG:5186,89389
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236440.1601","412866.9401",EPSG:5186,89402
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236446.9901","412861.5401",EPSG:5186,89414
대전광역시 중구,서문로43번길,문화동192-12도,문화동405-2도,이팝나무,12,기타,기타,기타,기타,"236454.9701","412855.6001",EPSG:5186,89431
대전광역시 중구,정생로32번길,정생동705구,정생동323전,느티나무,3.5,기타,기타,기타,기타,"235752.4751","406351.3441",EPSG:5186,99458
대전광역시 중구,정생로32번길,정생동705구,정생동323전,은행나무,3.5,기타,기타,기타,기타,"235762.4902","406348.5401",EPSG:5186,99459
대전광역시 동구,산내로273번길,하소동 752도,하소동 산55-1목,느티나무,3,기타,기타,기타,기타,"239445.0262","401511.252",EPSG:5186,112686
대전광역시 동구,산내로386번길,하소동 746도,하소동 328-1도,느티나무,2.2,기타,기타,기타,기타,"239686.9076","402460.0973",EPSG:5186,112685
대전광역시 동구,산내로499번길,상소동 1085-3도,상소동 1086도,느티나무,5,기타,기타,기타,기타,"240103.3212","403604.6588",EPSG:5186,112682
대전광역시 동구,산내로574번길,상소동 1041도,상소동 279전,느티나무,4.1,기타,기타,기타,기타,"240910.4971","403600.6861",EPSG:5186,112683
대전광역시 동구,산내로675번길,상소동1032-5천,상소동807전,느티나무,2.5,기타,기타,기타,기타,"241579.2181","404222.8971",EPSG:5186,112681
대전광역시 동구,산내로929번길,삼괴동 114천,삼괴동 산25-1임,느티나무,2.4,기타,기타,기타,기타,"242854.8511","406178.5941",EPSG:5186,112679
대전광역시 중구,계백로,유천동482천,용두동155도,버드나무,39,기타,기타,기타,기타,"236987.9701","413856.4301",EPSG:5186,98663
대전광역시 동구,천개동로,추동91유,효평동472-3도,느티나무,3.5,기타,기타,기타,기타,"241943.1702","422427.7101",EPSG:5186,112676
대전광역시 서구,괴곡1길,괴곡동473-2,괴곡동523-2,느티나무,9.2,기타,기타,기타,기타,"231837.0611","409848.3351",EPSG:5186,62503
대전광역시 유성구,계백로,대전 유성구 송정동 589-5,대전 유성구 원내동 764-1,느티나무,3.5,기타,기타,기타,기타,"222626.4302","408895.5501",EPSG:5186,37630
대전광역시 유성구,계백로,대전 유성구 송정동 589-5,대전 유성구 원내동 764-1,느티나무,4.5,기타,기타,기타,기타,"224491.2751","407616.4611",EPSG:5186,37631
대전광역시 유성구,구룡달전로,대전 유성구 봉산동 305-1,대전 유성구 둔곡동 산50-2,느티나무,7.2,기타,기타,기타,기타,"234477.0601","426897.1401",EPSG:5186,16230
