"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153250.942","100900.562",EPSG:5186,5692
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,29,기타,기타,기타,기타,"153224.302","101228.34",EPSG:5186,5693
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,16,기타,기타,기타,기타,"153240.411","100722.443",EPSG:5186,5694
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,30,기타,기타,기타,기타,"153206.092","101051.491",EPSG:5186,5695
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,28,기타,기타,기타,기타,"153197.902","101156.491",EPSG:5186,5696
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,24,기타,기타,기타,기타,"153246.882","100865.482",EPSG:5186,5697
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,31,기타,기타,기타,기타,"153201.922","101105.291",EPSG:5186,5698
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,25,기타,기타,기타,기타,"153259.562","100786.903",EPSG:5186,5700
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153241.382","101015.821",EPSG:5186,5701
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,13,기타,기타,기타,기타,"153231.302","100835.882",EPSG:5186,5702
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,24,기타,기타,기타,기타,"153213.881","100632.924",EPSG:5186,5703
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,25,기타,기타,기타,기타,"153217.376","100916.069",EPSG:5186,5705
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,24,기타,기타,기타,기타,"153260.871","100770.473",EPSG:5186,5706
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153224.622","100913.252",EPSG:5186,5707
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,25,기타,기타,기타,기타,"153239.232","101045.251",EPSG:5186,5708
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153209.462","101011.701",EPSG:5186,5709
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,25,기타,기타,기타,기타,"153234.932","101096.621",EPSG:5186,5710
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,25,기타,기타,기타,기타,"153248.832","100925.072",EPSG:5186,5711
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,22,기타,기타,기타,기타,"153240.342","101029.851",EPSG:5186,5712
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,34,기타,기타,기타,기타,"153252.112","100885.202",EPSG:5186,5713
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,45,기타,기타,기타,기타,"153194.101","100617.024",EPSG:5186,5715
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,28,기타,기타,기타,기타,"153236.232","101080.411",EPSG:5186,5716
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153227.062","101107.131",EPSG:5186,5717
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,22,기타,기타,기타,기타,"153199.152","101141.701",EPSG:5186,5718
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,25,기타,기타,기타,기타,"153212.552","100972.712",EPSG:5186,5719
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153274.22","100661.784",EPSG:5186,5720
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153227.422","101186.55",EPSG:5186,5721
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,24,기타,기타,기타,기타,"153258.122","100803.073",EPSG:5186,5723
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,22,기타,기타,기타,기타,"153222.552","101251.85",EPSG:5186,5724
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153225.882","101210.12",EPSG:5186,5725
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153234.161","100674.664",EPSG:5186,5726
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153238.762","100963.732",EPSG:5186,5727
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,17,기타,기타,기타,기타,"153263.601","100737.773",EPSG:5186,5728
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,29,기타,기타,기타,기타,"153223.122","101244.29",EPSG:5186,5729
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153238.222","100970.082",EPSG:5186,5730
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153242.592","100914.592",EPSG:5186,5731
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,28,기타,기타,기타,기타,"153226.412","100803.723",EPSG:5186,5732
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,28,기타,기타,기타,기타,"153253.232","100868.372",EPSG:5186,5733
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,15,기타,기타,기타,기타,"153267.951","100685.814",EPSG:5186,5736
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153209.142","101112.141",EPSG:5186,5737
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,24,기타,기타,기타,기타,"153225.492","100814.683",EPSG:5186,5738
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,24,기타,기타,기타,기타,"153232.161","100730.093",EPSG:5186,5739
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153235.091","100682.344",EPSG:5186,5740
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,27,기타,기타,기타,기타,"153204.972","101065.701",EPSG:5186,5741
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153242.621","100691.094",EPSG:5186,5742
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153200.412","101219.66",EPSG:5186,5743
제주특별자치도 제주시,공항로,공항로,공항로,구실잣밤나무,28,기타,기타,기타,기타,"153215.812","101024.781",EPSG:5186,5744
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,23,기타,기타,기타,기타,"153244.182","100981.512",EPSG:5186,5745
제주특별자치도 제주시,공항로,공항로,공항로,후박나무,28,기타,기타,기타,기타,"153231.052","100743.503",EPSG:5186,5746
